Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	Login		IOS-Simulator-IOS-9.1	iPad 2	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
No	Login		Android-Device-Android-4.4	Samsung Galaxy S6	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
No	CreateSchedule		IOS-Simulator-IOS-9.3	iPhone 6	Local	Dogfooding	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
Yes	EditNAGeofencescheduleWithSleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleWithSleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofenceschedulevalueWithoutsleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofenceschedulevalueWithoutsleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofenceschedulevaluesleepsettings		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofenceschedulevaluesleepsettings		IOS-Simulator-IOS-9.3	iPhone 6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleTemperatureRange		Android-Device-Android-6.0	Samsung Galaxy S6	SauceLabs	Production	"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
